-147, 1
-146, 2
-145, 0
-144, 0
-143, 0
-142, 1
-141, 2
-140, 1
-139, 1
-138, 1
-137, 1
-136, 2
-135, 0
-134, 1
-133, 1
-132, 3
-131, 2
-130, 2
-129, 3
-128, 5
-127, 1
-126, 3
-125, 5
-124, 2
-123, 5
-122, 2
-121, 7
-120, 6
-119, 3
-118, 4
-117, 11
-116, 12
-115, 11
-114, 12
-113, 17
-112, 8
-111, 7
-110, 9
-109, 14
-108, 6
-107, 13
-106, 13
-105, 20
-104, 18
-103, 10
-102, 20
-101, 24
-100, 32
-99, 20
-98, 28
-97, 18
-96, 32
-95, 25
-94, 23
-93, 35
-92, 30
-91, 35
-90, 30
-89, 37
-88, 41
-87, 26
-86, 28
-85, 30
-84, 35
-83, 43
-82, 40
-81, 40
-80, 42
-79, 28
-78, 36
-77, 44
-76, 58
-75, 46
-74, 46
-73, 65
-72, 51
-71, 68
-70, 65
-69, 55
-68, 69
-67, 67
-66, 65
-65, 68
-64, 100
-63, 84
-62, 94
-61, 88
-60, 98
-59, 126
-58, 93
-57, 94
-56, 138
-55, 102
-54, 128
-53, 121
-52, 134
-51, 153
-50, 143
-49, 135
-48, 205
-47, 183
-46, 167
-45, 189
-44, 201
-43, 213
-42, 218
-41, 209
-40, 265
-39, 207
-38, 245
-37, 265
-36, 290
-35, 337
-34, 353
-33, 374
-32, 408
-31, 392
-30, 423
-29, 454
-28, 455
-27, 522
-26, 511
-25, 567
-24, 787
-23, 689
-22, 755
-21, 817
-20, 870
-19, 990
-18, 1057
-17, 1165
-16, 1585
-15, 1416
-14, 1671
-13, 1825
-12, 2062
-11, 2301
-10, 2648
-9, 3180
-8, 4418
-7, 4934
-6, 6149
-5, 7956
-4, 9970
-3, 12565
-2, 15104
-1, 17290
0, 21216
1, 17391
2, 15069
3, 12289
4, 9870
5, 7642
6, 6135
7, 4799
8, 4234
9, 3055
10, 2589
11, 2220
12, 1984
13, 1669
14, 1570
15, 1432
16, 1474
17, 1130
18, 980
19, 892
20, 880
21, 758
22, 705
23, 675
24, 655
25, 548
26, 574
27, 429
28, 460
29, 341
30, 395
31, 361
32, 390
33, 299
34, 311
35, 299
36, 272
37, 252
38, 253
39, 248
40, 249
41, 230
42, 206
43, 170
44, 186
45, 180
46, 175
47, 157
48, 179
49, 143
50, 129
51, 130
52, 132
53, 147
54, 125
55, 127
56, 127
57, 126
58, 112
59, 113
60, 125
61, 113
62, 104
63, 93
64, 102
65, 97
66, 76
67, 99
68, 74
69, 73
70, 70
71, 60
72, 67
73, 66
74, 50
75, 67
76, 43
77, 49
78, 52
79, 46
80, 43
81, 56
82, 41
83, 47
84, 36
85, 41
86, 45
87, 42
88, 35
89, 31
90, 32
91, 32
92, 29
93, 23
94, 32
95, 24
96, 33
97, 19
98, 24
99, 17
100, 14
101, 16
102, 22
103, 15
104, 20
105, 5
106, 9
107, 11
108, 8
109, 2
110, 4
111, 2
112, 10
113, 9
114, 3
115, 6
116, 4
117, 7
118, 0
119, 4
120, 1
121, 1
122, 1
123, 2
124, 1
125, 2
126, 0
127, 0
128, 2
129, 1
130, 0
131, 1
